Тест: без ошибок 

---------------Протокол-----------------
 ------03.12.21 20:50:27-----
  
 ---- Параметры ---- 

-in: in.txt
-out: out.txt
-log: log.txt


Всего символов: 508

Всего строк: 35

Пропущено: 0
№ | Имя | тип данных | тип индитификатора | первое вхождение
1 | fi | integer | Функция    | 2 | - |
2 | fix | string | Переманная | 5 | - |
3 | fiy | string | Переманная | 8 | - |
4 | fiz | integer | Переманная | 13 | - |
5 | * | - | Оператор | 18 | - |
6 | + | - | Оператор | 21 | - |
7 | fs | string | Функция    | 32 | - |
8 | fsa | string | Переманная | 35 | - |
9 | fsb | string | Переманная | 38 | - |
10 | fsc | string | Переманная | 43 | - |
11 | substr | string | Функция    | 48 | - |
12 | substra | string | Переманная | 51 | - |
13 | substrp | integer | Переманная | 54 | - |
14 | substrn | integer | Переманная | 57 | - |
15 | substrc | integer | Переманная | 60 | - |
16 | L1 | integer | Литерал    | 66 | 1 | 
17 | L2 | integer | Литерал    | 68 | 3 | 
18 | + | - | Оператор | 70 | - |
19 | substrb | integer | Переманная | 71 | - |
20 | mainx | integer | Переманная | 82 | - |
21 | mainy | integer | Переманная | 86 | - |
22 | mainz | integer | Переманная | 90 | - |
23 | mainsa | string | Переманная | 94 | - |
24 | mainsb | string | Переманная | 98 | - |
25 | mainsc | string | Переманная | 102 | - |
26 | strlen | integer | Функция    | 107 | - |
27 | strlenp | string | Переманная | 110 | - |
28 | strlenx | string | Переманная | 113 | - |
29 | strleny | string | Переманная | 117 | - |
30 | L3 | integer | Литерал    | 119 | 5 | 
31 | strlensa | integer | Переманная | 121 | - |
32 | L4 | string | Литерал    | 123 | [10]1234567890 |
33 | strlensb | string | Переманная | 125 | - |
34 | strlenz | string | Переманная | 129 | - |
35 | strlensc | string | Переманная | 135 | - |
36 | L5 | integer | Литерал    | 151 | 0 | 
